,architecture,task,kind,source,layer,ED,SNR,MRR,Encoding score
131,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer2.1.relu,8.212448293928137,2.157168074464981,0.34929514721983285,0.3673317704812243
132,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer3.0.relu,17.70315173478181,2.105963124047041,0.46809764574556534,0.4573646169514349
133,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer3.1.relu,23.78206782264225,2.034357284447172,0.5313598014136868,0.4733864755863974
134,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer4.0.relu,33.01177216942253,1.9539931138083784,0.5812276075085033,0.4670997539159472
135,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer4.1.relu,46.98225002824447,2.157496261881453,0.646367691720299,0.4566871147161612
136,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer1.0.relu,3.199491043357352,1.1717278922074357,0.2521664864156642,0.2174485169043179
137,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer1.1.relu,2.161703350911925,0.944294804105416,0.21433343252829654,0.204630601091873
138,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer1.2.relu,1.9523660960651164,0.8439360939677809,0.19332868312751658,0.1757126578603391
139,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer2.0.relu,1.463881604284558,0.6861422804733597,0.15902828669684027,0.1301155877766536
140,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer2.1.relu,1.3057476148432223,0.6258966907650334,0.1522420639118658,0.1198499576023743
141,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer2.2.relu,1.3321506785986337,0.6160579185826964,0.1509128274346294,0.1200921630831194
142,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer2.3.relu,1.3928084431226322,0.6340034280937455,0.15375445783533234,0.1226920757287381
143,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.0.relu,1.3020344785268438,0.6355894596169275,0.15051105689172067,0.1110796339712248
144,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.1.relu,1.3545381997505794,0.6998701289400356,0.14356081103545534,0.0759816866965992
145,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.2.relu,1.2469030430842067,0.6612803387117546,0.13661419001477437,0.0626600310210026
146,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.3.relu,1.1650476901482076,0.6088081605085621,0.1301153692010309,0.0487850441177875
147,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.4.relu,1.1539167885715735,0.6030868473245684,0.12892489183970554,0.0472197754093142
148,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer3.5.relu,1.3029322572499178,0.6279724188330194,0.13633164001232526,0.0593694442961975
149,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer4.0.relu,1.2908089614298517,0.6543077851991312,0.1330610642245183,0.074296996243674
150,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer4.1.relu,1.392048418396783,0.6236630737044498,0.11123129624573905,0.0544229115158436
151,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy,layer4.2.relu,1.2102909301221454,0.5944883081775578,0.09255205130807038,0.0484781096473186
152,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer1.0.relu,3.836450571402297,1.3784690377717068,0.29761625425731913,0.2643958607631395
153,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer1.1.relu,3.224972813601645,1.260007489759283,0.2797745984291833,0.2606951709844259
154,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer1.2.relu,3.2068086543501813,1.2496323700307823,0.2817253356698471,0.2698184253346595
155,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer2.0.relu,1.7684863690913546,0.949505783814669,0.24615881421797595,0.2535637959075291
156,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer2.1.relu,1.3791784790759456,0.7929108644170467,0.22274335611835525,0.2474588798469287
157,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer2.2.relu,1.186819194606831,0.6706126211351064,0.19439079825276173,0.2417756833384527
158,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer2.3.relu,1.1235789589777114,0.6090651053796272,0.1764274350827444,0.2453022552120821
159,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.0.relu,1.0204241879072566,0.5171467775704708,0.13285610860189578,0.1584701729655806
160,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.1.relu,1.0044298035444672,0.4883913117227322,0.1194998115392772,0.0807987396083726
161,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.2.relu,1.0024173187047871,0.4974172970585434,0.11547405297809596,0.0572920035193825
162,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.3.relu,1.0025856379134357,0.5073192098324417,0.11256846097578817,0.0360356291866942
163,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.4.relu,1.002759504271553,0.5120187229336367,0.1078362109628525,0.0266477952674575
164,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer3.5.relu,1.003833566096305,0.5187129243625936,0.10624031448930087,0.021721511252478
165,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer4.0.relu,1.0042019195209173,0.5379872540642966,0.10732340457341652,0.016405038383791
166,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer4.1.relu,1.0024705411405894,0.5498851570271663,0.09093091471134868,0.0150087159853306
167,ResNet50,Curvature Estimation,Supervised,Taskonomy,layer4.2.relu,1.0039314301241449,0.5507096373649508,0.08665441669409726,0.0144357736227442
168,ResNet50,Denoising,Self-Supervised,Taskonomy,layer1.0.relu,3.377321863924235,1.134529152553654,0.24809920788809378,0.2141959102105032
169,ResNet50,Denoising,Self-Supervised,Taskonomy,layer1.1.relu,2.2596695775784066,0.9639012455790362,0.21547860198132823,0.2081535485892408
170,ResNet50,Denoising,Self-Supervised,Taskonomy,layer1.2.relu,1.403521082669006,0.7052842544245287,0.177808351145125,0.1801396341889435
171,ResNet50,Denoising,Self-Supervised,Taskonomy,layer2.0.relu,1.2145841462933868,0.6004153163462362,0.1521520857427049,0.1266649517632961
172,ResNet50,Denoising,Self-Supervised,Taskonomy,layer2.1.relu,1.140771480448019,0.5622210246649296,0.1439277936748901,0.1155974897675436
173,ResNet50,Denoising,Self-Supervised,Taskonomy,layer2.2.relu,1.081303870742358,0.5340835848097388,0.14086732879178282,0.1140850186360865
174,ResNet50,Denoising,Self-Supervised,Taskonomy,layer2.3.relu,1.0455419838456057,0.5171717467659392,0.1345051912690863,0.1097609673267071
175,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.0.relu,1.037629544673602,0.5488335535711509,0.13139876066295428,0.1202576439216632
176,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.1.relu,1.0653998281238883,0.5658329578158211,0.13305546233019783,0.1285691135406526
177,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.2.relu,1.0621619680555434,0.5667582742871281,0.13351083825208918,0.130686502107693
178,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.3.relu,1.0655685615005706,0.5682965212270269,0.13398568511065842,0.1303046883983258
179,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.4.relu,1.061197036359059,0.5582507123452628,0.13466001721909987,0.1286720975431404
180,ResNet50,Denoising,Self-Supervised,Taskonomy,layer3.5.relu,1.069243065260739,0.5571248881587229,0.13745851411645907,0.1332961922978094
181,ResNet50,Denoising,Self-Supervised,Taskonomy,layer4.0.relu,1.187296598699214,0.465520965269024,0.14791474678846367,0.1478972538027544
182,ResNet50,Denoising,Self-Supervised,Taskonomy,layer4.1.relu,1.2278176920151584,0.4202691895893043,0.14827864488818843,0.1451449587695607
183,ResNet50,Denoising,Self-Supervised,Taskonomy,layer4.2.relu,1.2507069518245744,0.3863823537066445,0.14791048885227448,0.1440256101756468
184,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer1.0.relu,2.756508170127601,1.3156980430799134,0.19050611827041516,0.2302687555916014
185,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer1.1.relu,2.1331223143511964,1.341178532921616,0.19046647747599094,0.226380154295462
186,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer1.2.relu,1.7315039310215676,1.2987397802329397,0.18374561212005638,0.2170717239264165
187,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer2.0.relu,1.4727372115432271,1.1008028571952804,0.17106001184425979,0.1731799735007561
188,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer2.1.relu,1.6337917661021752,1.157675844874097,0.17427642379262093,0.1798357428162882
189,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer2.2.relu,1.8243626198756957,1.2403725289864689,0.17870058780455522,0.1809376479707157
190,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer2.3.relu,1.958598038457404,1.3654018878425924,0.17979115562980413,0.1748769726753234
191,ResNet50,Edge Detection (2D),Supervised,Taskonomy,layer3.0.relu,2.372025063026407,1.4693994062570608,0.18807881707192087,0.1852597537221689
