accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1704,0.4244,0.30250963624694527,-3.566265999639973,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2016,0.4912,0.3460851285545266,-3.4104390270487244,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.2536,0.1852516552970846,-3.8861643607446092,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1404,0.3644,0.26175392191774194,-3.5254996974196753,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1724,0.4432,0.31128220311867877,-3.3729092597275687,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2188,0.5128,0.35960782797210733,-3.3615410474077687,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2276,0.17052508177354395,-3.9448529409969546,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1196,0.34,0.24036741409420834,-3.60544268722308,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1896,0.4604,0.326794416761653,-3.37711427768304,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2068,0.5008,0.3495128300820342,-3.419779557777231,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.232,0.1724685082116962,-4.18912015547546,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1276,0.3476,0.24789902894878754,-3.54734923400336,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.178,0.4548,0.3138522015954172,-3.461290808319779,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.206,0.5092,0.35053844190660227,-3.4283048425324827,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.2292,0.17058099733230841,-4.089503028814759,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1308,0.3612,0.2545149826845641,-3.5452334323442773,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
