accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0652,0.1924,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1497056989767424
0.0844,0.2404,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1835455150819851
0.1052,0.3124,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2182049052545625
0.1228,0.332,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2376294104272069
0.052,0.1712,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1366576233688482
0.0848,0.2512,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1856953003394906
0.1076,0.3024,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2226882137696665
0.1108,0.328,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2275624751845927
0.0544,0.1768,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1413737839272341
0.0836,0.2452,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1823581993853959
0.0968,0.2868,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2073539534486678
0.1008,0.304,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2156910104957554
0.0564,0.18,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1432446309580962
0.0776,0.2288,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1727181204830337
0.096,0.2744,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1996776019925921
0.1032,0.2928,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2121973038201066
0.0664,0.1972,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1524609148774276
0.0856,0.2344,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1824616851890654
0.0892,0.2668,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1937111441277454
0.0936,0.2892,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2036873105741758
0.0588,0.1724,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1425940852454957
0.0852,0.26,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1885607562105356
0.102,0.2796,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2084372811268481
0.0996,0.2888,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2088625580856145
0.0408,0.1716,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.132846373156673
0.086,0.2356,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1832581748749238
0.1048,0.2844,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2105595969767085
0.1028,0.2928,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2129333310596804
0.0564,0.1692,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1394170043905023
0.0828,0.2364,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1775236559107247
0.0908,0.266,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1965424833275807
0.1,0.286,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2071469076342002
0.0608,0.1764,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1436807757472737
0.0828,0.2392,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1788233377576384
0.0996,0.2852,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2054190070391412
0.104,0.2876,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2113275951911376
0.0644,0.184,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1506642093679405
0.0824,0.2368,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1802845267394998
0.0944,0.2832,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2039125408521204
0.1008,0.2924,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.211688607330278
0.0636,0.1884,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1489046292020995
0.0748,0.2268,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1711455409068735
0.0924,0.2812,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2044996699118939
0.1108,0.3036,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2208023371451405
0.054,0.1672,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.134191926169857
0.0788,0.2404,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.1782584336168684
0.0988,0.2848,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2091445317285727
0.0992,0.3044,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch,0.2139612920118359
