accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0228,0.116,0.09869679095538411,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1796,0.1365154620205853,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2036,0.14886677099917622,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.236,0.1592059939928506,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1436,0.1168179838528737,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1896,0.13946665652027793,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.1996,0.1488003468033367,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2324,0.16248105194008727,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.03,0.1348,0.10735020915897528,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.166,0.12715470035179502,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2004,0.1468936532644557,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2164,0.158187428432517,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1448,0.11558169269424391,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1756,0.13329038300615634,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2108,0.15071781316880847,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2204,0.15490358113208758,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.032,0.128,0.11120564899243889,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1856,0.13694835872519634,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.2188,0.15937937929340068,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2356,0.16184675424043046,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0248,0.122,0.10335758002670666,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1712,0.13286153958816668,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2048,0.14782045259566393,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.2184,0.15451620097055857,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1408,0.11057264147851802,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1864,0.1366219910166692,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1908,0.14557160511278935,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2176,0.15498826941489757,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1308,0.10902347862708159,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1684,0.12674013700540412,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2076,0.14997497754015923,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.2176,0.15376190492638014,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1416,0.11359932491034579,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1732,0.12897383649898514,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.2128,0.15002795644326117,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2284,0.16019140916640712,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1612,0.12732921088037316,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1784,0.1314887892023588,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2032,0.14634711974173803,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.2144,0.15177293098427286,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0224,0.1184,0.09950089188637716,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1724,0.13418535225787284,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
