layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block2,0.10017441951180095,0.00890557640654691,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,20.137225294959556,33.47223237884626,V4,supervised
block3,0.05813992619444589,0.00578271815688237,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,17.113986906697495,60.919974788027936,V4,supervised
block4,0.0961373382040783,0.00718467387543753,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,7.503640796907816,28.25176587303287,V4,supervised
block1,0.12665597177483562,0.0072236623542870195,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,17.98268337671874,19.991783314731073,V4,supervised
block2,0.08103499738318537,0.00880586989880093,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,17.445761827251022,20.608048724224247,V4,supervised
block3,0.08430095153915278,0.011040268344171638,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,31.57595845949926,25.76083100564198,V4,supervised
block4,0.14964717159027002,0.0028719315396589784,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,26.446699409920072,51.386119419465906,V4,supervised
conv1,0.20768556895256993,0.005107299418427527,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,16.18148740075188,27.65924179012877,V4,supervised
conv3,0.2533483934972933,0.005588722941351713,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,54.91141378402158,139.34613635536041,V4,supervised
conv5,0.1631191009119702,0.0066542910982535204,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,75.49524652053924,110.6779043447512,V4,supervised
fc7,0.09998224360596461,0.006468747673929964,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,29.04879859400244,227.13645028334082,V4,supervised
block1,0.2678430257508043,0.007224168410949011,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,19.574282747373356,29.529389436605022,V4,supervised
block2,0.19226300306814917,0.006625086392840146,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,33.43443585141794,55.59662547984754,V4,supervised
block3,0.25104677587910235,0.007343094695672575,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,81.96052734779498,114.69687913791196,V4,supervised
block4,0.16558450185318588,0.007059552373481812,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,55.496519606157435,182.26800494561527,V4,supervised
block1,0.2155338827608386,0.006288233381931463,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,28.522193802118558,23.12907609403569,V4,supervised
block2,0.15834373880645633,0.006095742822306818,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,73.03286114574274,56.05575421323803,V4,supervised
block3,0.23116381339666278,0.00585057539333405,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,104.13673240464881,67.89410151786119,V4,supervised
block4,0.16400878320812598,0.006111660909935294,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,54.435321425158925,163.75875080664545,V4,supervised
conv1,0.18072097998742273,0.00721027402656151,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,11.280407766549617,14.84222331904795,V4,supervised
conv3,0.1752788863327985,0.007687173611177447,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,7.677462414179674,10.09265257212421,V4,supervised
conv5,0.1511099524309525,0.008446022506301748,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,6.52733755203501,8.233365857645616,V4,supervised
fc7,0.17050141653186235,0.006646872502659754,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,10.003134121847781,11.89220551473817,V4,supervised
block1,0.16748529770211637,0.008993442377104753,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,8.541391050245894,8.252314307063202,V4,supervised
