80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
1.0,2.6129331051778544,1.4082389449752437,layer4.0.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
1.0,2.5770296584876795,1.3296885685771378,layer4.1.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
1.0,2.7212006992052755,1.27789634205852,layer4.2.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
4.0,2.2175374543076694,3.3827831133903175,layer1.0.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
4.0,2.1845321276857836,3.826173052865455,layer1.1.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
4.0,2.128329150276928,3.446373239148278,layer1.2.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
4.0,2.0914528833370376,3.122378376819083,layer2.0.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
3.0,2.055750100537066,2.4989387760221393,layer2.1.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,2.0852868926359576,1.914522518635886,layer2.2.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
3.0,1.9725835607606925,1.9324527040822035,layer2.3.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.9629627593422971,1.6655284089710987,layer3.0.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.9213339333546775,1.6383223562033356,layer3.1.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
1.0,1.8877005454649611,1.5433805781450296,layer3.2.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.8433492077259517,1.6247281456985088,layer3.3.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.812518215232719,1.6393731413641666,layer3.4.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.7927077333276025,1.5935061973819875,layer3.5.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
2.0,1.7988242714660378,1.579038808281206,layer4.0.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
1.0,1.8490976140781539,1.2902684434718927,layer4.1.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
1.0,1.887160873875848,1.136825551244371,layer4.2.relu,ResNet50,Edge Detection (3D),Supervised,Taskonomy
4.0,2.290101542892242,4.638669732791871,layer1.0.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.2351695989435654,3.9686551906030383,layer1.1.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.1529188656353164,3.530051278645915,layer1.2.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.1041633546924214,3.8530985172149865,layer2.0.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.0752139305919135,3.2119575583892237,layer2.1.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.05930782502074,3.1855231971900957,layer2.2.relu,ResNet50,Egomotion,Supervised,Taskonomy
