accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0472,0.188,0.14105061179784548,1,4,features.11,AlexNet,None,Untrained,PyTorch
0.0832,0.262,0.18993081526239866,5,4,features.11,AlexNet,None,Untrained,PyTorch
0.1068,0.3108,0.2240130875991627,20,4,features.11,AlexNet,None,Untrained,PyTorch
0.1184,0.3364,0.24030685980995417,50,4,features.11,AlexNet,None,Untrained,PyTorch
0.0644,0.19,0.15197873240836374,1,5,features.11,AlexNet,None,Untrained,PyTorch
0.08,0.26,0.18767893539175404,5,5,features.11,AlexNet,None,Untrained,PyTorch
0.1068,0.3276,0.2281837781414799,20,5,features.11,AlexNet,None,Untrained,PyTorch
0.116,0.3448,0.23935484867150197,50,5,features.11,AlexNet,None,Untrained,PyTorch
0.0416,0.1692,0.1295115227304497,1,6,features.11,AlexNet,None,Untrained,PyTorch
0.0796,0.2552,0.18611585583024115,5,6,features.11,AlexNet,None,Untrained,PyTorch
0.0988,0.3092,0.21930486626410547,20,6,features.11,AlexNet,None,Untrained,PyTorch
0.1152,0.3448,0.23851048243476447,50,6,features.11,AlexNet,None,Untrained,PyTorch
0.056,0.1972,0.14927281922957072,1,7,features.11,AlexNet,None,Untrained,PyTorch
0.086,0.2664,0.1948588890344359,5,7,features.11,AlexNet,None,Untrained,PyTorch
0.0864,0.3172,0.20934080357140797,20,7,features.11,AlexNet,None,Untrained,PyTorch
0.1028,0.3316,0.2305191939947873,50,7,features.11,AlexNet,None,Untrained,PyTorch
0.0584,0.1952,0.15002836369821018,1,8,features.11,AlexNet,None,Untrained,PyTorch
0.084,0.2872,0.20032591269103603,5,8,features.11,AlexNet,None,Untrained,PyTorch
0.104,0.3272,0.2267571545695077,20,8,features.11,AlexNet,None,Untrained,PyTorch
0.1144,0.3448,0.2358151235275629,50,8,features.11,AlexNet,None,Untrained,PyTorch
0.056,0.2212,0.1536115216556217,1,9,features.11,AlexNet,None,Untrained,PyTorch
0.0856,0.2568,0.19173244804980447,5,9,features.11,AlexNet,None,Untrained,PyTorch
0.0956,0.3072,0.21448927524543643,20,9,features.11,AlexNet,None,Untrained,PyTorch
0.1084,0.326,0.22935817676917472,50,9,features.11,AlexNet,None,Untrained,PyTorch
0.0836,0.2684,0.1910350449097941,1,0,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.152,0.4036,0.2812336204999454,5,0,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1672,0.442,0.30559513618898204,20,0,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1848,0.4724,0.32932454542545236,50,0,features.1,AlexNet,Object Classification,Supervised,PyTorch
