accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0356,0.1424,0.1153868948247065,-4.395156399870993,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1856,0.1394816467180916,-4.260376449551221,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.2164,0.14788671358121974,-4.617596892056214,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.254,0.16606400636602284,-4.227923601069141,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1576,0.12168834578409773,-4.236834763896999,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1928,0.1426317489990158,-4.533410478535284,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.2036,0.14136824739262194,-5.282651241802683,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2168,0.15134922687681768,-4.862247499958768,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.134,0.11307696131849293,-4.377107435330536,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1868,0.13912069831300208,-4.509947588961308,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.2076,0.14622034880335064,-4.953678646889207,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.2176,0.14747249605098747,-4.653864046512042,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1384,0.11380144010737495,-4.2971208451662255,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1752,0.1367938039587775,-4.595019976786545,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.2032,0.14505054978293522,-5.3048248911656835,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.2176,0.14758900998636748,-4.9791579218040365,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1496,0.12035206787423927,-4.092328393412427,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.196,0.148689137027683,-4.420640117353551,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.2108,0.14678441141588774,-5.1507202699596135,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.2356,0.1544294970827965,-4.956305985734236,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0268,0.1356,0.10831400438401577,-4.484681094507387,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1692,0.13286080361067168,-4.5560783969892915,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1976,0.14071758848221738,-4.978237960070039,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.2104,0.14723720398631837,-4.632132618426258,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.1416,0.11329207900505955,-4.340172878453277,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1968,0.13666422920558907,-4.451452982261937,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.2064,0.14198209005703163,-5.0022289974001515,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.242,0.15919746095997103,-4.949491520276181,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0268,0.1312,0.10854666868393074,-4.399628647321808,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1808,0.13706199566766905,-4.5577004078081105,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.2156,0.14832082073789987,-5.011028820576379,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.2156,0.15085871892597297,-4.944574254826262,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
