layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
block4,0.4026343735317184,0.0041339013488969,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",60.67427156811946,163.75875080664545,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39952346632616875,0.4127389608095807,0.3610231323181541,0.5387436123326312,0.47973283676715206,0.4751829724352724,0.34309577582687073,0.4521156612526479,0.21032007054564913,0.27672484740228587
conv1,0.2283946733311199,0.0039058810841503,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.517086507383818,14.84222331904795,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.28383481813659284,0.2951057612040384,0.24645275847032524,0.2867067208446218,0.30769181525629097,0.1700605124567811,0.15178613926354567,0.20658737118748938,0.13493858603178796,0.15583496633155938
conv3,0.2875706746709492,0.0040802839147624,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.662043566717231,10.09265257212421,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3068303566263221,0.3340859937037203,0.3203019993316814,0.39942511505087525,0.3538036856313905,0.3365396211549684,0.20499874371818216,0.24615716261555162,0.14779829163791117,0.12557999763178412
conv5,0.2794582310956379,0.0041516032163921,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.892561252981324,8.233365857645616,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.32028649150553795,0.3500996599635512,0.3016676218123931,0.3926499972004117,0.35173617967189474,0.2939502396919283,0.18314417483675927,0.22619334207411446,0.14327754686658653,0.1547197154433041
fc7,0.2678635407137122,0.0043413009279936,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.578913403257891,11.89220551473817,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.29639360898137657,0.3318745979038616,0.28462686242833213,0.3807331116438323,0.3559559622309102,0.2806671382942298,0.18900700113944946,0.2174614807687411,0.12259863354364636,0.14111963886907136
block1,0.2882943790330047,0.0038013561747954,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.052530122457591,8.252314307063202,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.27513382505410916,0.36358833675791524,0.2916730743937902,0.3760360517631036,0.3680726222674961,0.30529541333875704,0.2799298928747343,0.25290048775412144,0.12730841478485228,0.17016441460517162
block2,0.2963243549263141,0.0040601281604951,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.795079277945793,4.299677831350609,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.34403556495774446,0.30507637378488817,0.2949739726703102,0.4413420354499863,0.3913673890420793,0.29022191738784753,0.22838137481789306,0.24252870127896053,0.17359491828566548,0.18103799258713266
block3,0.2607501925608987,0.0038363802244344,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",2.549093766485306,2.3045946620221507,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31679075394462813,0.32566051484648406,0.2881718463940286,0.3176521279774016,0.3081883482903073,0.29082068530050403,0.14511082001389056,0.24623334186362808,0.13903835430310127,0.1803527602474734
block4,0.2276503689462425,0.0036752725918821,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.960580280047841,1.9151193044196408,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.2713464870243965,0.277237320858223,0.2391671125120554,0.24875605496581982,0.22959212721267525,0.2698700687345466,0.14449770476822776,0.26359597895999964,0.12832862144548576,0.16557513908335456
block1,0.3090861022817089,0.0040430441586454,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.4972829290134415,8.667985483061925,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31100173762001415,0.3601821622503939,0.32613058582328835,0.43239164653929635,0.41221678272241236,0.30979030387517414,0.26417279152633044,0.25169700506746573,0.1599013863529284,0.19051172846094777
