layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_6,0.37249041783961795,0.004455778684379421,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.085959725491012,286.7022518978024,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_7,0.39358551584671236,0.004692946475384083,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.572496806701968,142.7110586286491,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_8,0.343006998110113,0.0043242031745397425,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.57986487195866,44.66078979718826,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.34160906297449534,0.003965071296476386,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.152692716619649,47.52870916822214,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1,0.27938143362988166,0.003913634310157167,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.663781699665105,109.36834834278908,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.29424082587467537,0.0038255770794872923,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",18.868264716234172,229.6537937375893,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.30631212413584935,0.004033006357516742,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.459649711658578,241.071677642991,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.33044922671962473,0.004185987941453192,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",20.029841817154875,302.1750314544837,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.3769434484680056,0.004568026975779307,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",28.64399422844202,307.7322784559674,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.38544735432069144,0.0047131529763295415,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.34940770076053,334.0072422877179,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
