num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
2,0.009118558435501228,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
3,0.015007869552952304,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
4,0.02050376541096491,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
6,0.028394191660259215,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
9,0.041436566131900686,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
14,0.04276989738990827,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
21,0.061556122846371394,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
30,0.06571229016364614,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
45,0.078381770281949,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
66,0.08330913329778118,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
97,0.08725558299404307,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
142,0.08899073804762732,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
207,0.09301306652283854,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
304,0.08696328931328998,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
445,0.07923621269251946,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
652,0.07253037233142942,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
955,0.06139249613055601,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
1,0.0047433376440090425,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
2,0.012003380971336046,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
3,0.01397310969441376,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
4,0.020882273960135346,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
6,0.028308825646633735,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
9,0.03495752062835986,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
14,0.04494365211176337,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
21,0.057805255839272984,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
30,0.07028300132370591,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
45,0.0749592441136441,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
66,0.07491528403997141,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
97,0.08187234634882372,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
142,0.08195700372702375,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
207,0.08080047859199443,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
304,0.0779103961267554,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
445,0.07048246271635161,1000,layer4.0.relu,ResNet50,None,Untrained,PyTorch
