num_pcs,scores,layer,architecture,task,kind,source
1,0.020448339917520236,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.1281618136524295,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.2200544645554039,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.24690008525304688,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2704291253838578,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.2811269682667479,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2956400313011257,layer3.5.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.014582858943182089,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.129358171651291,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.19223569079903471,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.22766483270604834,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2559239926817654,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.28286043250412685,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2935080721550096,layer4.0.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.015357338533634432,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.12678156555802675,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.18785145109542223,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2129074863558374,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.23972681804260432,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.26248385043026984,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.27556975952010687,layer4.1.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.012879293975943016,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.12533807550125967,layer4.2.relu,ResNet50,Object Classification,Supervised,PyTorch
