accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1684,0.4156,0.29660831378580865,-4.878001383177582,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1824,0.4564,0.3183791913361765,-7.749675407295392,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2404,0.179731352482419,-4.29166417574278,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1072,0.3228,0.22845837116252316,-4.283700748996693,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1484,0.4068,0.2803179096002262,-4.91655488679632,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1832,0.4436,0.31647680438291675,-7.290151833404272,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2172,0.16778721491318074,-4.35640331736097,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1168,0.3384,0.23487627041814516,-4.274249098103305,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1636,0.4036,0.2904206593777991,-4.785228661844234,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.184,0.45,0.3199493963005369,-7.230608315985529,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.216,0.16719996657658243,-4.310470941980398,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.3008,0.2180398219948207,-4.483218176551137,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1368,0.4036,0.27348756829261833,-5.1572366869118,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.174,0.446,0.3121328057594132,-7.959634500381211,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2264,0.16635785513984014,-4.207133043632183,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1148,0.3068,0.22524763620324448,-4.387152471641537,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1552,0.3928,0.2803679397059457,-5.241422778051234,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.18,0.444,0.3170972003371664,-8.789599947182223,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2488,0.18373016934306885,-4.197314897879614,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1276,0.3276,0.2436208578435749,-4.326678611358566,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1484,0.4104,0.2838514143623216,-5.228432575879855,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1792,0.4516,0.3154977413856342,-7.290709035611864,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.2348,0.16731789908572361,-4.164465903407741,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1104,0.3196,0.22753082343972705,-4.3617837764261935,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1552,0.4052,0.28607164666983215,-5.241091049212757,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1736,0.446,0.309279549741457,-8.919930554853288,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.206,0.14465991183858964,-4.39848115246316,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1156,0.3172,0.23062553205971154,-4.392918208462125,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1572,0.424,0.29221925235827706,-5.337180692712128,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1692,0.4584,0.3128825590199912,-8.706255948878855,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2368,0.17960904641250178,-4.094163730616673,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.11,0.3216,0.22730918432623076,-4.348364454955423,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.3984,0.2816776163766143,-5.2700956793631555,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1724,0.4452,0.30968279325706,-7.36134642120437,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.072,0.222,0.1690876375374747,-4.218278717605539,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1176,0.3184,0.2324936132721473,-4.472249797051596,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1692,0.4316,0.30118037246517665,-4.990551482960222,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1892,0.4676,0.3280565113970575,-7.52496942597563,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.23,0.18053564808304073,-4.255379644192598,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.12,0.3292,0.23858693111681373,-4.455684178359542,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
