layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
fc7,0.26930439483615043,0.008474493669143596,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,10.003134121847781,11.89220551473817,V4,supervised
block1,0.25139112587179635,0.010036541352085851,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,8.541391050245894,8.252314307063202,V4,supervised
block2,0.18860749755310444,0.009155784242161498,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,4.163255681986676,4.299677831350609,V4,supervised
block3,0.17299597470236175,0.009440797990206005,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,2.182589592458574,2.3045946620221507,V4,supervised
block4,0.1713748739278858,0.008435519514326485,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,1.8673685716266533,1.9151193044196406,V4,supervised
block1,0.263037818801226,0.007721954096495727,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,11.777685794831218,8.667985483061925,V4,supervised
block2,0.19944693311356418,0.009389844041820259,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,8.255984071906676,6.034078865576757,V4,supervised
block3,0.2588432221411781,0.008163091580975494,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,5.687917738611762,4.014160126918305,V4,supervised
block4,0.26465982456133846,0.006054790619675251,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,3.9304770837330554,3.693635748180003,V4,supervised
block1,0.3545957247174865,0.007125493339657829,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,23.321962459603345,59.488059369553305,V4,unsupervised
block2,0.24155020948135433,0.00879435834793413,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,43.33093913630285,143.96704249087503,V4,unsupervised
block3,0.3182286652795256,0.007654671944626143,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,69.64128277847287,110.57875524211012,V4,unsupervised
block4,0.26217858364526836,0.008400434475979195,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,43.03675379216614,207.73351692841365,V4,unsupervised
