accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0656,0.234,0.16726762023265632,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2672,0.19760326362672218,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.282,0.20095550660044978,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.16,0.12726372874824277,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.064,0.2084,0.1601389500735009,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.26,0.1917000886348004,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.2676,0.19567283668790322,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0596,0.174,0.14114116863922974,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.2164,0.16929004817777588,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.086,0.2624,0.1918734138662731,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.26,0.18741124881332222,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.1644,0.13291629542454267,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2132,0.16590167386922836,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2456,0.1837803949459381,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2724,0.19405095117317778,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1584,0.12729193279682158,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.066,0.2112,0.1633173740116171,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0816,0.2568,0.18558228252440737,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.266,0.19208933621797758,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.162,0.1326493019207692,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0804,0.232,0.17695739717830772,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.27,0.1944297495711151,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2756,0.19756021217531947,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1868,0.1409340092890365,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2216,0.16768646895865108,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.2448,0.18138968926304552,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2568,0.18787641086167403,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.1556,0.12241420924175939,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.2416,0.17627845209707751,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2452,0.18401029048020412,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.26,0.18976157305727182,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.18,0.13775982907340484,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2188,0.16638607516830742,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2548,0.1862963875746432,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2612,0.1897679894511279,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1504,0.1251843102567015,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0836,0.2296,0.1754605366912115,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2408,0.18069030928153762,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.2492,0.19320614944491607,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1636,0.12886070920420395,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2308,0.16974763760200312,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.26,0.19571545076296348,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.278,0.20124333498004685,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.162,0.1251319893011843,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.21,0.16292783390037585,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.2576,0.18927211168476507,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2696,0.19195563993908382,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.17,0.13472626495197046,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2152,0.16756339556843708,5,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0876,0.2608,0.19112836152595117,20,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2624,0.18554722162825835,50,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1656,0.13177277728447306,1,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2112,0.167210973044535,5,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.2472,0.18219697778708774,20,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.2596,0.19361616209170057,50,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1572,0.1275438052797111,1,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0724,0.214,0.16610949654282992,5,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.252,0.18456930050059345,20,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.2608,0.1925845756991222,50,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
